ano;ente;cod_uf;sig_uf;cod_ibge;nom_ente
2024;Municipal;31;MG;313370;Itatiaiuçu
2024;Municipal;31;MG;313375;Itaú de Minas
2024;Municipal;31;MG;313380;Itaúna
2024;Municipal;31;MG;313390;Itaverava
2024;Municipal;31;MG;313400;Itinga
2024;Municipal;31;MG;313410;Itueta
2024;Municipal;31;MG;313420;Ituiutaba
2024;Municipal;31;MG;313430;Itumirim
2024;Municipal;31;MG;313440;Iturama
2024;Municipal;31;MG;313450;Itutinga
2024;Municipal;31;MG;313460;Jaboticatubas
2024;Municipal;31;MG;313470;Jacinto
2024;Municipal;31;MG;313480;Jacuí
2024;Municipal;31;MG;313490;Jacutinga
2024;Municipal;31;MG;313500;Jaguaraçu
2024;Municipal;31;MG;313505;Jaíba
2024;Municipal;31;MG;313507;Jampruca
2024;Municipal;31;MG;313510;Janaúba
2024;Municipal;31;MG;313520;Januária
2024;Municipal;31;MG;313530;Japaraíba
2024;Municipal;31;MG;313535;Japonvar
2024;Municipal;31;MG;313540;Jeceaba
2024;Municipal;31;MG;313545;Jenipapo de Minas
2024;Municipal;31;MG;313550;Jequeri
2024;Municipal;31;MG;313560;Jequitaí
2024;Municipal;31;MG;313570;Jequitibá
2024;Municipal;31;MG;313580;Jequitinhonha
2024;Municipal;31;MG;313590;Jesuânia
2024;Municipal;31;MG;313600;Joaíma
2024;Municipal;31;MG;313610;Joanésia
2024;Municipal;31;MG;313620;João Monlevade
2024;Municipal;31;MG;313630;João Pinheiro
2024;Municipal;31;MG;313640;Joaquim Felício
2024;Municipal;31;MG;313650;Jordânia
2024;Municipal;31;MG;313652;José Gonçalves de Minas
2024;Municipal;31;MG;313655;José Raydan
2024;Municipal;31;MG;313657;Josenópolis
2024;Municipal;31;MG;313660;Nova União
2024;Municipal;31;MG;313665;Juatuba
2024;Municipal;31;MG;313670;Juiz de Fora
2024;Municipal;31;MG;313680;Juramento
2024;Municipal;31;MG;313690;Juruaia
2024;Municipal;31;MG;313695;Juvenília
2024;Municipal;31;MG;313700;Ladainha
2024;Municipal;31;MG;313710;Lagamar
2024;Municipal;31;MG;313720;Lagoa da Prata
2024;Municipal;31;MG;313730;Lagoa dos Patos
2024;Municipal;31;MG;313740;Lagoa Dourada
2024;Municipal;31;MG;313750;Lagoa Formosa
2024;Municipal;31;MG;313753;Lagoa Grande
2024;Municipal;31;MG;313760;Lagoa Santa
2024;Municipal;31;MG;313770;Lajinha
2024;Municipal;31;MG;313780;Lambari
2024;Municipal;31;MG;313790;Lamim
2024;Municipal;31;MG;313800;Laranjal
2024;Municipal;31;MG;313810;Lassance
2024;Municipal;31;MG;313820;Lavras
2024;Municipal;31;MG;313830;Leandro Ferreira
2024;Municipal;31;MG;313835;Leme do Prado
